CANTIC	Catàleg d'autoritats de noms i títols de Catalunya	P9984	1
BNE	Biblioteca Nacional d'Espanya	P950	1
BNF	Biblioteca Nacional de França	P268	1
BPN	Biografisch Portaal	P651	1
GND	Gemeinsame Normdatei	P227	1
LCCN	Número de Control de la Biblioteca del Congrés	P244	1
VIAF	Virtual International Authority File	P214	1
ISNI	International Standard Name Identifier	P213	1
ORCID	ORCID	P496	1
SELIBR	LIBRIS	P906	1
SUDOC	Système universitaire de documentation	P269	1
RID	ResearcherID	P1053	1
BIBSYS	BIBSYS	P1015	1
ULAN	Union List of Artist Names	P245	1
NLA	Biblioteca Nacional d'Austràlia	P409	1
NDL	Biblioteca Nacional de la Dieta del Japó	P349	1
NCL	National Central Library	P1048	1
NKC	Biblioteca Nacional de la República Txeca	P691	1
Léonore	Base Léonore	P640	1
RSL	Biblioteca Estatal de Rússia	P947	1
SBN	Istituto Centrale per il Catalogo Unico	P396	1
DBD	Diccionari de Dones	P2498	2
DLC	Diccionari de la Literatura Catalana (Gran Enciclopèdia Catalana)	P7357	2
EEC	Enciclopèdia de l'Esport Català	P5513	2
GEC	Gran Enciclopèdia Catalana	P12385	2
GEMUS	Gran Enciclopèdia de la Música	P6412	2
Dialnet	Dialnet	P1607	2
Europeana	Europeana	P7704	2
HDS	Diccionari Històric de Suïssa	P902	2
LIR	Diccionari Històric de Suïssa#Lexicon_Istoric_Retic	P886	2
MGP	Mathematics Genealogy Project	P549	2
OSM	OpenStreetMap	P402	2
AcademiaNet	AcademiaNet	P2080	91
